id,filtered_words,features,label_index
R170,go town option himself. agreement receive wide realize management wait. instead high hundred scene. experts discuss ongoing developments technology breakthrough.,"(10000,[1020,1241,1582,2116,2227,2836,3614,3792,4506,4527,4617,4687,4715,5175,6063,6451,8413,9372,9462,9613],[2.4789364828014966,4.270695952029551,3.914021008090819,4.270695952029551,2.7200985396183848,3.7316994512968646,0.6753425559264385,3.914021008090819,0.691153161953081,4.137164559405029,4.270695952029551,0.691153161953081,4.270695952029551,4.830311739964974,5.117993812416755,3.6516567436233283,3.6516567436233283,5.117993812416755,0.691153161953081,4.019381523748645])",1.0
F110,rest boy wait food. light answer food card probably. — shocking claims celebrity scandal surface internet.,"(10000,[157,503,1720,2144,2708,3486,3619,4085,4921,5415,5477,5850,7281,7936,8338,8653],[3.8187108282864943,0.691153161953081,4.42484663185681,3.8187108282864943,3.7316994512968646,2.849310271098391,4.137164559405029,5.523458920524919,2.849310271098391,4.830311739964974,4.019381523748645,0.691153161953081,0.667530016189645,0.691153161953081,0.691153161953081,4.830311739964974])",0.0
F048,treat may simply nature mother. role option growth born. — shocking claims secret cure surface internet.,"(10000,[320,503,1642,3286,3350,3611,3892,5850,6747,7177,7281,7936,8338,8750,9160,9613],[3.7316994512968646,0.691153161953081,3.7316994512968646,5.117993812416755,4.42484663185681,4.137164559405029,2.5530444549552183,0.691153161953081,2.5530444549552183,4.607168188650764,0.667530016189645,0.691153161953081,0.691153161953081,4.137164559405029,4.42484663185681,4.019381523748645])",0.0
F082,give everyone machine size evening. soldier choose head challenge offer open local. factor discuss within congress exactly. — shocking claims hoax surface internet.,"(10000,[160,503,1064,2958,3192,3614,3783,4011,4141,4377,5783,5850,5935,7281,7936,8040,8338,8728,8893,9325,9561,9706,9817],[4.42484663185681,0.691153161953081,4.42484663185681,4.607168188650764,4.830311739964974,0.6753425559264385,4.019381523748645,5.523458920524919,4.137164559405029,2.60568818844064,4.42484663185681,0.691153161953081,4.830311739964974,0.667530016189645,0.691153161953081,3.172083663361442,0.691153161953081,3.5085558999826545,4.019381523748645,5.117993812416755,4.607168188650764,4.137164559405029,3.4440173788450834])",0.0
F187,cover however organization several lot control behind. science west edge may politics loss. specific ball born wrong thousand state. — shocking claims miracle drug surface internet.,"(10000,[503,690,911,1208,1256,1364,2059,3363,3921,4943,5085,5850,5887,6104,6512,6798,7281,7492,7860,7936,8271,8338,8929,9160,9227,9545],[0.691153161953081,5.117993812416755,3.8187108282864943,2.60568818844064,3.125563647726549,4.019381523748645,2.6330871626287546,3.914021008090819,4.019381523748645,4.019381523748645,4.019381523748645,0.691153161953081,3.914021008090819,4.270695952029551,4.42484663185681,3.914021008090819,0.667530016189645,3.914021008090819,2.958509563063383,0.691153161953081,4.607168188650764,0.691153161953081,5.523458920524919,4.42484663185681,4.42484663185681,4.137164559405029])",0.0
F027,item executive store usually. threat tv current. — shocking claims miracle drug surface internet.,"(10000,[503,1256,1916,4547,5850,6000,6652,7184,7281,7860,7936,8070,8338,9966],[0.691153161953081,3.125563647726549,4.019381523748645,4.019381523748645,0.691153161953081,4.137164559405029,5.523458920524919,4.42484663185681,0.667530016189645,2.958509563063383,0.691153161953081,4.607168188650764,0.691153161953081,4.137164559405029])",0.0
F202,moment create despite shoulder. whose hear politics single. — shocking claims hoax surface internet.,"(10000,[503,1301,1404,3401,3489,3740,4377,4842,5850,5887,7281,7936,8338,9539],[0.691153161953081,4.42484663185681,4.137164559405029,3.6516567436233283,5.117993812416755,4.42484663185681,2.60568818844064,4.019381523748645,0.691153161953081,3.914021008090819,0.667530016189645,0.691153161953081,0.691153161953081,5.117993812416755])",0.0
F197,development entire. individual course apply left night. purpose class measure technology whom. — shocking claims secret cure surface internet.,"(10000,[503,528,656,735,1020,1662,2871,3222,3652,3892,4007,5850,6747,7281,7312,7936,8089,8338,8614],[0.691153161953081,3.914021008090819,5.117993812416755,4.42484663185681,2.4789364828014966,4.270695952029551,4.42484663185681,4.607168188650764,4.019381523748645,2.5530444549552183,4.137164559405029,0.691153161953081,2.5530444549552183,0.667530016189645,3.7316994512968646,0.691153161953081,4.019381523748645,0.691153161953081,4.270695952029551])",0.0
R128,right ever dog without together capital option. accept discussion toward ten hair down. experts discuss ongoing developments climate change.,"(10000,[821,1790,2059,2657,3194,3614,4043,4506,4687,5085,5315,5594,6541,7664,8312,8569,9025,9462,9564],[2.849310271098391,3.8187108282864943,2.6330871626287546,3.914021008090819,4.137164559405029,0.6753425559264385,3.7316994512968646,0.691153161953081,0.691153161953081,4.019381523748645,4.42484663185681,4.270695952029551,4.42484663185681,4.42484663185681,3.8187108282864943,5.523458920524919,4.607168188650764,0.691153161953081,4.270695952029551])",1.0
F157,pressure action strategy little let without such. goal drug price. stage rich financial. — shocking claims government cover-up surface internet.,"(10000,[26,30,503,1109,1590,2259,2291,3629,4043,5089,5661,5850,6212,6633,7281,7860,7936,8267,8338,9813],[4.830311739964974,3.5085558999826545,0.691153161953081,5.117993812416755,4.42484663185681,2.7826188965997183,4.607168188650764,5.117993812416755,3.7316994512968646,3.7316994512968646,4.830311739964974,0.691153161953081,3.914021008090819,4.830311739964974,0.667530016189645,2.958509563063383,0.691153161953081,4.137164559405029,0.691153161953081,2.997730276216664])",0.0
F117,office image few. prepare road performance training. — shocking claims hoax surface internet.,"(10000,[503,682,2286,2764,4377,5303,5725,5850,7281,7936,8338,8344,9351],[0.691153161953081,4.607168188650764,4.137164559405029,5.523458920524919,2.60568818844064,4.42484663185681,4.270695952029551,0.691153161953081,0.667530016189645,0.691153161953081,0.691153161953081,4.137164559405029,3.914021008090819])",0.0
F173,say opportunity across live entire identify. watch receive individual popular particular follow expect. stand six around sister test. — shocking claims secret cure surface internet.,"(10000,[493,503,2708,3521,3892,4617,5401,5850,5862,6148,6197,6747,6886,6976,7074,7281,7488,7936,8219,8338,8614,8824,8960,8984,9367],[4.137164559405029,0.691153161953081,3.7316994512968646,3.577548771469606,2.5530444549552183,4.270695952029551,3.8187108282864943,0.691153161953081,3.8187108282864943,4.019381523748645,4.019381523748645,2.5530444549552183,3.8187108282864943,3.914021008090819,3.7316994512968646,0.667530016189645,4.830311739964974,0.691153161953081,4.42484663185681,0.691153161953081,4.270695952029551,4.270695952029551,5.523458920524919,4.607168188650764,3.577548771469606])",0.0
F024,rich town source. service score edge human box. — shocking claims aliens surface internet.,"(10000,[503,650,1927,2252,3707,3921,4715,5850,6212,7281,7936,8303,8338,8774],[0.691153161953081,2.958509563063383,4.607168188650764,3.914021008090819,4.830311739964974,4.019381523748645,4.270695952029551,0.691153161953081,3.914021008090819,0.667530016189645,0.691153161953081,4.830311739964974,0.691153161953081,4.42484663185681])",0.0
F096,history possible stage week everything. control although respond audience. — shocking claims celebrity scandal surface internet.,"(10000,[30,503,1208,2500,3177,3486,4442,4921,5122,5850,6100,6543,7281,7779,7936,8338],[3.5085558999826545,0.691153161953081,2.60568818844064,4.019381523748645,4.830311739964974,2.849310271098391,5.523458920524919,2.849310271098391,3.6516567436233283,0.691153161953081,4.137164559405029,4.270695952029551,0.667530016189645,3.4440173788450834,0.691153161953081,0.691153161953081])",0.0
R247,scientist picture cold author range. term major everybody it. experts discuss ongoing developments public health.,"(10000,[1058,1209,1770,2188,2481,2561,3614,3920,4506,4687,6219,6226,7805,9350,9462],[4.607168188650764,4.019381523748645,2.997730276216664,4.42484663185681,4.270695952029551,3.914021008090819,0.6753425559264385,4.270695952029551,0.691153161953081,0.691153161953081,3.172083663361442,3.8187108282864943,5.117993812416755,4.830311739964974,0.691153161953081])",1.0
F226,black turn arrive thousand. measure majority better nice without statement add. government learn white nothing. arm none onto. — shocking claims government cover-up surface internet.,"(10000,[503,528,1948,2259,2543,3370,3886,3984,4043,5683,5843,5850,5967,6444,7281,7391,7936,8338,8344,8661,9244,9813,9817,9831],[0.691153161953081,3.914021008090819,3.8187108282864943,5.565237793199437,3.3262343431887,3.914021008090819,4.42484663185681,4.137164559405029,3.7316994512968646,5.117993812416755,4.270695952029551,0.691153161953081,5.117993812416755,5.117993812416755,0.667530016189645,3.914021008090819,0.691153161953081,0.691153161953081,4.137164559405029,5.117993812416755,4.607168188650764,2.997730276216664,3.4440173788450834,3.914021008090819])",0.0
F100,minute respond special. base region scientist ready style. — shocking claims flat earth surface internet.,"(10000,[503,2500,2918,3357,3500,5118,5850,6226,6557,7281,7936,8159,8173,8338,9676],[0.691153161953081,4.019381523748645,3.0385522707369192,4.019381523748645,5.117993812416755,5.117993812416755,0.691153161953081,3.8187108282864943,4.019381523748645,0.667530016189645,0.691153161953081,3.7316994512968646,3.8187108282864943,0.691153161953081,3.0385522707369192])",0.0
F246,part prepare know executive. require budget past across. middle job alone magazine. — shocking claims government cover-up surface internet.,"(10000,[503,557,751,2259,2286,2419,2492,4991,5627,5850,7281,7779,7936,8338,8449,8740,9275,9813,9878],[0.691153161953081,3.6516567436233283,4.42484663185681,2.7826188965997183,4.137164559405029,4.830311739964974,4.270695952029551,2.5277266469709283,5.117993812416755,0.691153161953081,0.667530016189645,3.4440173788450834,0.691153161953081,0.691153161953081,4.019381523748645,4.270695952029551,3.6516567436233283,2.997730276216664,3.8187108282864943])",0.0
F183,every yes behind list represent amount would. deal lose inside stuff pass be. — shocking claims aliens surface internet.,"(10000,[503,650,1410,1433,4346,4422,5044,5850,6562,7222,7281,7722,7936,8338,8392,8717,8728,9066,9681],[0.691153161953081,2.958509563063383,5.117993812416755,3.383392757028649,3.8187108282864943,4.137164559405029,3.8187108282864943,0.691153161953081,4.830311739964974,4.830311739964974,0.667530016189645,4.019381523748645,0.691153161953081,0.691153161953081,3.8187108282864943,4.137164559405029,3.5085558999826545,3.914021008090819,4.42484663185681])",0.0
R063,everyone thought like prepare difference. democratic western answer close. drive teacher near realize plant company important. experts discuss ongoing developments policy.,"(10000,[55,524,942,1582,2286,3065,3330,3614,3619,4506,4687,5606,5974,6325,6944,7244,7937,8708,8893,8915,9462],[4.830311739964974,4.019381523748645,4.830311739964974,3.914021008090819,4.137164559405029,5.523458920524919,3.8187108282864943,0.6753425559264385,4.137164559405029,0.691153161953081,0.691153161953081,3.6516567436233283,4.137164559405029,4.019381523748645,2.8154087194227095,3.6516567436233283,4.42484663185681,4.019381523748645,4.019381523748645,5.117993812416755,0.691153161953081])",1.0
R005,fire cultural citizen. experts discuss ongoing developments election.,"(10000,[2174,3556,3614,4506,4687,5191,9233,9462],[5.117993812416755,2.849310271098391,0.6753425559264385,0.691153161953081,0.691153161953081,4.270695952029551,3.7316994512968646,0.691153161953081])",1.0
R084,film reach report whatever quality. stay reality wish within. raise exist room success may. experts discuss ongoing developments election.,"(10000,[433,494,495,680,2589,3527,3556,3614,4295,4506,4687,5003,6505,6572,6602,7695,8386,9462,9828],[4.270695952029551,4.607168188650764,3.577548771469606,3.8187108282864943,4.137164559405029,4.137164559405029,2.849310271098391,0.6753425559264385,5.117993812416755,0.691153161953081,0.691153161953081,3.7316994512968646,4.607168188650764,5.117993812416755,3.914021008090819,3.7316994512968646,4.607168188650764,0.691153161953081,4.137164559405029])",1.0
R124,education ok rather better arm even. song tax defense speak. must whether everybody far beautiful amount. experts discuss ongoing developments education.,"(10000,[1023,1273,2095,2543,2561,2645,2837,3406,3543,3614,3984,4158,4506,4687,5047,5530,5750,6587,7177,7350,9462],[3.914021008090819,4.270695952029551,5.523458920524919,3.3262343431887,3.914021008090819,4.270695952029551,3.8187108282864943,4.137164559405029,4.270695952029551,0.6753425559264385,4.137164559405029,4.270695952029551,0.691153161953081,0.691153161953081,2.6902455764687034,4.42484663185681,5.117993812416755,4.270695952029551,4.607168188650764,4.019381523748645,0.691153161953081])",1.0
R118,choose remember expert movement figure system party. anyone magazine poor nearly. cost rather research visit number. experts discuss ongoing developments research.,"(10000,[666,698,914,2437,2837,3614,3996,4110,4201,4490,4506,4687,4702,5294,5685,7066,8103,8413,9432,9462,9706],[3.914021008090819,4.137164559405029,4.019381523748645,4.830311739964974,3.8187108282864943,0.6753425559264385,4.270695952029551,4.270695952029551,4.42484663185681,4.607168188650764,0.691153161953081,0.691153161953081,4.42484663185681,3.914021008090819,4.607168188650764,2.8844015909096608,4.42484663185681,3.6516567436233283,4.42484663185681,0.691153161953081,4.137164559405029])",1.0
F001,read car check drug investment stock party. increase people market. — shocking claims aliens surface internet.,"(10000,[503,650,793,1562,3674,3901,4201,4263,5850,7281,7650,7860,7936,7963,8338,8353],[0.691153161953081,2.958509563063383,4.607168188650764,4.607168188650764,3.7316994512968646,4.42484663185681,4.42484663185681,3.914021008090819,0.691153161953081,0.667530016189645,4.270695952029551,2.958509563063383,0.691153161953081,4.270695952029551,0.691153161953081,4.270695952029551])",0.0
F007,voice plant yes stand. particular subject republican give memory after. morning threat age couple time. — shocking claims immortal jellyfish surface internet.,"(10000,[503,2039,2066,3160,3530,3783,4616,5044,5276,5850,6090,6941,7244,7281,7702,7936,8070,8338,8655,8791,8984,9876],[0.691153161953081,5.523458920524919,2.7508701982851385,4.607168188650764,4.270695952029551,4.019381523748645,4.019381523748645,3.8187108282864943,5.117993812416755,0.691153161953081,5.523458920524919,4.137164559405029,3.6516567436233283,0.667530016189645,4.137164559405029,0.691153161953081,4.607168188650764,0.691153161953081,4.607168188650764,4.019381523748645,4.607168188650764,2.7508701982851385])",0.0
F046,nothing life find leg bring. avoid particular. time another third though bar. — shocking claims mind control surface internet.,"(10000,[503,1208,1388,1766,1811,3184,3385,3477,4292,5850,6290,7281,7510,7936,8157,8166,8338,8633,8771],[0.691153161953081,2.60568818844064,3.8187108282864943,4.607168188650764,5.117993812416755,2.7826188965997183,4.42484663185681,4.607168188650764,3.914021008090819,0.691153161953081,3.914021008090819,0.667530016189645,3.8187108282864943,0.691153161953081,4.270695952029551,4.42484663185681,0.691153161953081,4.830311739964974,4.42484663185681])",0.0
R103,citizen road camera eight administration white find. lose leg. experts discuss ongoing developments research.,"(10000,[8,1238,1650,3614,4422,4506,4687,5185,5725,5843,7066,7359,8482,9462],[3.6516567436233283,4.830311739964974,4.42484663185681,0.6753425559264385,4.137164559405029,0.691153161953081,0.691153161953081,4.270695952029551,4.270695952029551,4.270695952029551,2.8844015909096608,5.117993812416755,4.42484663185681,0.691153161953081])",1.0
R037,none nice road never. night wife billion ago picture successful hot. stay right tax. experts discuss ongoing developments budget report.,"(10000,[258,433,1790,1896,2481,3021,3370,3614,4498,4506,4529,4687,4991,5432,5659,5725,6869,7040,9462,9831],[4.42484663185681,4.270695952029551,3.8187108282864943,4.270695952029551,4.270695952029551,4.137164559405029,3.914021008090819,0.6753425559264385,4.42484663185681,0.691153161953081,5.117993812416755,0.691153161953081,2.5277266469709283,2.7508701982851385,4.270695952029551,4.270695952029551,3.914021008090819,4.830311739964974,0.691153161953081,3.914021008090819])",1.0
F193,alone week standard five stand nearly. serve full tend party. identify court point. — shocking claims secret cure surface internet.,"(10000,[454,503,1725,1810,2437,2492,2967,3892,3967,4201,4568,5122,5850,5974,6747,6886,7281,7936,8338,8897],[3.2208738275308737,0.691153161953081,3.8187108282864943,4.270695952029551,4.830311739964974,4.270695952029551,4.270695952029551,2.5530444549552183,4.019381523748645,4.42484663185681,3.577548771469606,3.6516567436233283,0.691153161953081,4.137164559405029,2.5530444549552183,3.8187108282864943,0.667530016189645,0.691153161953081,0.691153161953081,4.607168188650764])",0.0
R166,pay summer property yourself. free direction fill find ahead young. experts discuss ongoing developments election.,"(10000,[1073,2733,3556,3614,4506,4687,4897,5252,7321,7510,8268,8554,9462,9481,9727],[4.019381523748645,4.270695952029551,2.849310271098391,0.6753425559264385,0.691153161953081,0.691153161953081,3.8187108282864943,4.830311739964974,5.117993812416755,3.8187108282864943,4.137164559405029,3.8187108282864943,0.691153161953081,4.270695952029551,4.607168188650764])",1.0
F017,interesting institution generation nearly fund ok couple. fear animal president conference. trouble memory activity beyond. — shocking claims immortal jellyfish surface internet.,"(10000,[142,503,708,1306,1898,2066,2645,2866,2909,3243,3634,4638,5850,6941,6963,7281,7360,7936,8110,8338,9513,9876],[5.117993812416755,0.691153161953081,5.117993812416755,3.914021008090819,4.830311739964974,2.7508701982851385,4.270695952029551,4.019381523748645,3.914021008090819,4.42484663185681,4.607168188650764,4.607168188650764,0.691153161953081,4.137164559405029,4.270695952029551,0.667530016189645,3.914021008090819,0.691153161953081,4.42484663185681,0.691153161953081,3.914021008090819,2.7508701982851385])",0.0
R008,parent station rate new education. short. wall former seven show no. experts discuss ongoing developments economic growth.,"(10000,[253,585,746,2470,3614,4019,4160,4506,4687,5047,6404,7850,8415,9034,9144,9462,9932],[4.019381523748645,4.607168188650764,5.117993812416755,5.523458920524919,0.6753425559264385,4.137164559405029,4.137164559405029,0.691153161953081,0.691153161953081,2.6902455764687034,4.137164559405029,4.607168188650764,4.830311739964974,2.8844015909096608,2.7508701982851385,0.691153161953081,4.270695952029551])",1.0
F071,happy natural others skin. indicate chair bit experience young behind up. — shocking claims celebrity scandal surface internet.,"(10000,[503,681,796,1989,2706,3486,3635,4346,4921,4988,5347,5850,6485,6940,7281,7809,7936,8338],[0.691153161953081,4.019381523748645,4.137164559405029,4.42484663185681,5.117993812416755,2.849310271098391,4.137164559405029,3.8187108282864943,2.849310271098391,4.270695952029551,4.270695952029551,0.691153161953081,4.137164559405029,3.5085558999826545,0.667530016189645,4.137164559405029,0.691153161953081,0.691153161953081])",0.0
F028,property fish book. race serve conference knowledge even program exactly. commercial need mention. — shocking claims mind control surface internet.,"(10000,[160,454,503,573,1073,1208,1376,1725,2733,3184,3226,5657,5850,6406,6443,6537,7281,7864,7936,8338],[4.42484663185681,3.2208738275308737,0.691153161953081,4.137164559405029,4.019381523748645,2.60568818844064,5.117993812416755,3.8187108282864943,4.270695952029551,2.7826188965997183,5.117993812416755,4.42484663185681,0.691153161953081,4.830311739964974,3.577548771469606,4.270695952029551,0.667530016189645,4.42484663185681,0.691153161953081,0.691153161953081])",0.0
F227,apply career lot serve federal consumer. special carry right clearly thing picture buy. — shocking claims immortal jellyfish surface internet.,"(10000,[454,503,526,633,1055,1725,1790,2066,2481,3857,4930,4943,5094,5850,7281,7312,7936,8238,8338,9876],[3.2208738275308737,0.691153161953081,5.117993812416755,4.270695952029551,4.137164559405029,3.8187108282864943,3.8187108282864943,2.7508701982851385,4.270695952029551,3.8187108282864943,3.6516567436233283,4.019381523748645,5.523458920524919,0.691153161953081,0.667530016189645,3.7316994512968646,0.691153161953081,4.42484663185681,0.691153161953081,2.7508701982851385])",0.0
R200,mean stuff environment back. republican ten see morning notice force social. experts discuss ongoing developments public health.,"(10000,[391,909,1525,1770,2110,2407,3160,3614,4506,4616,4687,4847,5085,5354,6219,7722,9462],[3.914021008090819,3.914021008090819,3.914021008090819,2.997730276216664,5.117993812416755,4.137164559405029,4.607168188650764,0.6753425559264385,0.691153161953081,4.019381523748645,0.691153161953081,3.7316994512968646,4.019381523748645,4.42484663185681,3.172083663361442,4.019381523748645,0.691153161953081])",1.0
R225,power value provide say than. democrat past small happen particularly. experts discuss ongoing developments climate change.,"(10000,[222,821,1822,2059,3056,3614,4506,4687,4704,5234,5862,5946,7403,9168,9275,9462],[4.137164559405029,2.849310271098391,5.117993812416755,2.6330871626287546,4.137164559405029,0.6753425559264385,0.691153161953081,0.691153161953081,4.137164559405029,4.270695952029551,3.8187108282864943,4.607168188650764,4.019381523748645,5.117993812416755,3.6516567436233283,0.691153161953081])",1.0
R062,level option edge allow. beat effect including conference arrive talk. experts discuss ongoing developments budget report.,"(10000,[1499,2569,3614,3809,3921,4506,4687,4991,5432,5657,6324,7334,7391,7601,9462,9613],[4.137164559405029,4.42484663185681,0.6753425559264385,5.523458920524919,4.019381523748645,0.691153161953081,0.691153161953081,2.5277266469709283,2.7508701982851385,4.42484663185681,4.607168188650764,4.607168188650764,3.914021008090819,4.830311739964974,0.691153161953081,4.019381523748645])",1.0
F033,strong identify history general least protect feeling four. summer computer many. point different present. — shocking claims hoax surface internet.,"(10000,[503,613,1634,2846,3816,3967,4377,4416,5465,5850,6355,6543,6683,7235,7281,7936,7960,8151,8338,9481],[0.691153161953081,3.7316994512968646,4.137164559405029,4.607168188650764,5.523458920524919,4.019381523748645,2.60568818844064,4.270695952029551,3.914021008090819,0.691153161953081,4.607168188650764,4.270695952029551,4.607168188650764,4.270695952029551,0.667530016189645,0.691153161953081,4.830311739964974,3.8187108282864943,0.691153161953081,4.270695952029551])",0.0
F012,lawyer course thus experience himself. bill loss partner want song yet. — shocking claims hoax surface internet.,"(10000,[116,503,3635,3652,3792,3882,4377,5329,5684,5850,7281,7350,7712,7936,8135,8338,9021],[4.42484663185681,0.691153161953081,4.137164559405029,4.019381523748645,3.914021008090819,5.523458920524919,2.60568818844064,4.42484663185681,5.117993812416755,0.691153161953081,0.667530016189645,4.019381523748645,3.8187108282864943,0.691153161953081,4.270695952029551,0.691153161953081,4.019381523748645])",0.0
R121,buy main practice common about. though seem bar road. important avoid business simply unit argue. experts discuss ongoing developments research.,"(10000,[80,1388,1637,1642,1831,1967,2176,2588,3385,3614,4280,4506,4687,5374,6332,6335,7066,7332,7509,9462],[3.914021008090819,3.8187108282864943,4.42484663185681,3.7316994512968646,5.523458920524919,4.019381523748645,5.523458920524919,3.7316994512968646,4.42484663185681,0.6753425559264385,4.137164559405029,0.691153161953081,0.691153161953081,3.914021008090819,3.914021008090819,4.270695952029551,2.8844015909096608,5.117993812416755,5.117993812416755,0.691153161953081])",1.0
F210,line detail example project control build specific. institution whatever majority. — shocking claims aliens surface internet.,"(10000,[264,503,650,1143,1182,1208,2230,3014,3243,3709,5850,7281,7695,7936,8338,9606],[4.607168188650764,0.691153161953081,2.958509563063383,4.019381523748645,4.270695952029551,2.60568818844064,4.137164559405029,4.607168188650764,4.42484663185681,4.830311739964974,0.691153161953081,0.667530016189645,3.7316994512968646,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
